Date,NIR_USD_mn,Gross_Reserves_USD_mn,Gold_USD_mn,SDRs_USD_mn,Foreign_Currencies_USD_mn,Liquid_NIR_USD_mn,Gold_Troy_Oz_thousands,Gold_Share_Pct
Jan-2005,16559,16576,717,89,15650,15842,2432221,4.33
Feb-2005,17320,17354,717,91,16429,16603,2432221,4.13
Mar-2005,18043,18059,717,93,17136,17326,2432221,3.97
Apr-2005,18470,18487,717,94,17564,17753,2432221,3.88
May-2005,18712,18726,717,91,17809,17995,2432221,3.83
Jun-2005,19302,19322,779,93,18345,18523,2432221,4.03
Jul-2005,20251,20272,779,95,19295,19472,2432221,3.84
Aug-2005,20705,20727,779,97,19749,19926,2432221,3.76
Sep-2005,21100,21121,779,99,20145,20321,2432221,3.69
Oct-2005,21213,21235,779,100,20259,20434,2432221,3.67
Nov-2005,21212,21236,779,98,20264,20433,2432221,3.67
Dec-2005,21890,21915,779,98,20943,21111,2432221,3.55
Jan-2006,22129,22146,779,105,21202,21350,2432221,3.52
Feb-2006,22365,22383,779,107,21440,21586,2432221,3.48
Mar-2006,22537,22556,779,107,21613,21758,2432221,3.45
Apr-2006,22794,22814,779,110,21868,22015,2432221,3.41
May-2006,22860,22881,779,111,21933,22081,2432221,3.4
Jun-2006,22931,22952,1119,113,21665,21812,2430844,4.88
Jul-2006,23051,23073,1119,114,21785,21932,2430844,4.85
Aug-2006,23935,23959,1119,116,22672,22816,2430844,4.67
Sep-2006,24065,24090,1119,116,22803,22946,2430844,4.65
Oct-2006,24392,24418,1119,117,23131,23273,2430844,4.58
Nov-2006,24901,24929,1119,118,23640,23782,2430844,4.49
Dec-2006,26045,26073,1119,118,24784,24926,2430844,4.29
Jan-2007,26089,26119,1119,121,24830,24970,2430844,4.28
Feb-2007,26216,26248,1119,124,24959,25097,2430844,4.26
Mar-2007,26312,26345,1119,126,25055,25193,2430844,4.25
Apr-2007,27082,27117,1119,127,25826,25963,2430844,4.13
May-2007,28036,28073,1119,125,26784,26917,2430844,3.99
Jun-2007,28559,28589,1186,128,27232,27373,2430844,4.15
Jul-2007,29581,29607,1186,131,28247,28395,2430844,4.01
Aug-2007,29665,29693,1186,133,28334,28479,2430844,3.99
Sep-2007,29881,29910,1186,135,28549,28695,2430844,3.97
Oct-2007,30921,30952,1186,138,29589,29735,2430844,3.83
Nov-2007,31495,31527,1186,133,30162,30309,2430844,3.76
Dec-2007,31681,31717,1186,134,30353,30495,2430844,3.74
Jan-2008,32206,32225,1186,137,30859,31020,2430844,3.68
Feb-2008,32915,32954,1186,140,31588,31729,2430844,3.6
Mar-2008,33705,33746,1186,145,32375,32519,2430844,3.51
Apr-2008,33810,33857,1186,141,32488,32624,2430844,3.5
May-2008,34102,34132,1186,141,32763,32916,2430844,3.47
Jun-2008,34572,34603,1633,130,32787,32939,2430844,4.72
Jul-2008,34683,34716,1633,130,32900,33050,2430844,4.7
Aug-2008,34819,34850,1633,128,33041,33186,2430844,4.69
Sep-2008,35024,35054,1633,130,33245,33391,2430844,4.66
Oct-2008,35031,35065,1633,123,33265,33398,2430844,4.66
Nov-2008,34405,34441,1633,123,32641,32772,2430844,4.74
Dec-2008,34112,34163,1633,109,32357,32479,2430844,4.78
Jan-2009,33431,33467,1633,106,31664,31798,2430844,4.88
Feb-2009,33053,33086,1633,106,31287,31420,2430844,4.94
Mar-2009,32177,32213,1633,109,30411,30544,2430844,5.07
Apr-2009,31189,31225,1633,108,29425,29556,2430844,5.23
May-2009,31208,31244,1633,112,29438,29575,2430844,5.23
Jun-2009,31310,31347,1680,115,29493,29630,2430844,5.36
Jul-2009,31626,31654,1680,106,29799,29946,2430844,5.31
Aug-2009,32914,32954,1680,1198,30009,31234,2430844,5.1
Sep-2009,33508,33551,1680,1314,30489,31828,2430844,5.01
Oct-2009,34026,34068,1680,1322,30997,32346,2430844,4.93
Nov-2009,34113,34156,1680,1332,31075,32433,2430844,4.92
Dec-2009,34163,34209,1680,1307,31157,32483,2430844,4.91
Jan-2010,34211,34235,1680,1301,31189,32531,2430844,4.91
Feb-2010,34324,34349,1680,1264,31329,32644,2430844,4.89
Mar-2010,34508,34528,1680,1249,31524,32828,2430844,4.87
Apr-2010,34654,34681,1680,1248,31678,32974,2430844,4.84
May-2010,35100,35128,1680,1214,32161,33420,2430844,4.78
Jun-2010,35221,35248,2180,1210,31774,33041,2430844,6.18
Jul-2010,35278,35304,2180,1240,31798,33098,2430844,6.17
Aug-2010,35527,35554,2180,1238,32052,33347,2430844,6.13
Sep-2010,35534,35561,2180,1263,32029,33354,2430844,6.13
Oct-2010,35545,35574,2180,1286,32017,33365,2430844,6.13
Nov-2010,35571,35604,2180,1259,32076,33391,2430844,6.12
Dec-2010,36005,36038,2180,1255,32517,33825,2430844,6.05
Jan-2011,35007,35023,2180,1281,31475,32827,2430844,6.22
Feb-2011,33321,33337,2180,1285,29784,31141,2430844,6.54
Mar-2011,30106,30123,2180,1295,26560,27926,2430844,7.24
Apr-2011,28024,28040,2180,1318,24452,25844,2430844,7.77
May-2011,27228,27243,2180,1305,23669,25048,2430844,8.0
Jun-2011,26564,26593,2743,1311,22450,23821,2430844,10.31
Jul-2011,25706,25734,2743,1319,21582,22963,2430844,10.66
Aug-2011,25008,25030,2743,1319,20878,22265,2430844,10.96
Sep-2011,24009,24033,2743,1281,19922,21266,2430844,11.41
Oct-2011,22072,22094,2743,1303,17959,19329,2430844,12.42
Nov-2011,20150,20172,2743,1273,16070,17407,2430844,13.6
Dec-2011,18119,18141,2743,1264,14048,15376,2430844,15.12
Jan-2012,16354,16377,2743,1268,12280,13611,2430844,16.75
Feb-2012,15718,15741,2743,1272,11640,12975,2430844,17.43
Mar-2012,15119,15143,2743,1269,11045,12376,2430844,18.11
Apr-2012,15213,15236,2743,1268,11139,12470,2430844,18.0
May-2012,15515,15538,2743,1243,11468,12772,2430844,17.65
Jun-2012,15534,15556,3303,1243,10926,12231,2430844,21.23
Jul-2012,14422,14444,3303,1238,9819,11119,2430844,22.87
Aug-2012,15127,15149,3303,1245,10516,11824,2430844,21.8
Sep-2012,15043,15068,3303,1263,10416,11740,2430844,21.92
Oct-2012,15484,15508,3303,1259,10861,12181,2430844,21.3
Nov-2012,15036,15059,3303,1257,10414,11733,2430844,21.93
Dec-2012,15015,15037,3303,1263,10385,11712,2430844,21.97
Jan-2013,13613,13636,3303,1259,8989,10310,2430844,24.22
Feb-2013,13508,13530,3303,1240,8903,10205,2430844,24.41
Mar-2013,13424,13448,3303,1230,8832,10121,2430844,24.56
Apr-2013,14426,14450,3303,1237,9826,11123,2430844,22.86
May-2013,16039,16061,3303,1225,11451,12736,2430844,20.57
Jun-2013,14936,14960,2463,1233,11181,12473,2430844,16.46
Jul-2013,18890,18913,2463,1244,15122,16427,2430844,13.02
Aug-2013,18924,18947,2463,1247,15153,16461,2430844,13.0
Sep-2013,18709,18734,2463,1257,14929,16246,2430844,13.15
Oct-2013,18590,18614,2463,1266,14800,16127,2430844,13.23
Nov-2013,17766,17789,2578,1257,13870,15188,2430844,14.49
Dec-2013,17032,17054,2510,1269,13192,14522,2430844,14.72
Jan-2014,17105,17127,2585,1264,13195,14520,2430844,15.09
Feb-2014,17307,17329,2767,1269,13210,14540,2430844,15.97
Mar-2014,17414,17438,2678,1266,13411,14736,2430844,15.36
Apr-2014,17489,17512,2684,1275,13470,14805,2430844,15.33
May-2014,17284,17306,2669,1268,13287,14615,2430844,15.42
Jun-2014,16687,16710,2662,1274,12695,14025,2430844,15.93
Jul-2014,16737,16759,2675,1267,12739,14062,2430844,15.96
Aug-2014,16836,16858,2657,1252,12872,14179,2430844,15.76
Sep-2014,16872,16895,2508,1229,13082,14364,2430844,14.84
Oct-2014,16909,16932,2540,1227,13089,14369,2430844,15.0
Nov-2014,15882,15905,2477,1207,12147,13405,2430844,15.57
Dec-2014,15333,15356,2450,1198,11638,12883,2430844,15.95
Jan-2015,15429,15452,2662,1165,11558,12767,2430844,17.23
Feb-2015,15456,15477,2464,1169,11777,12992,2430844,15.92
Mar-2015,15291,15314,2471,1148,11629,12820,2430844,16.14
Apr-2015,20525,20547,2498,1155,16828,18027,2430844,12.16
May-2015,19560,19582,2449,1153,15915,17111,2430844,12.51
Jun-2015,20082,20104,2420,1168,16453,17662,2430844,12.04
Jul-2015,18536,18558,2265,1162,15070,16271,2430844,12.2
Aug-2015,18096,18118,2312,1174,14571,15784,2430844,12.76
Sep-2015,16335,16358,2337,1167,12794,13998,2430844,14.29
Oct-2015,16415,16437,2409,1165,12803,14006,2430844,14.66
Nov-2015,16423,16445,2213,1144,13030,14210,2430844,13.46
Dec-2015,16445,16468,2211,1161,13041,14234,2430844,13.43
Jan-2016,16478,16500,2301,1153,12993,14177,2430844,13.95
Feb-2016,16534,16556,2554,1164,12786,13980,2430844,15.43
Mar-2016,16561,16586,2533,1172,12829,14028,2430844,15.27
Apr-2016,17011,17035,2566,1180,13237,14445,2430844,15.06
May-2016,17521,17545,2513,1179,13801,15008,2432226.7,14.32
Jun-2016,17546,17570,2602,793,14128,14944,2432226.7,14.81
Jul-2016,15537,15561,2735,789,11991,12802,2432226.7,17.58
Aug-2016,16564,16589,2726,796,13022,13838,2432226.7,16.43
Sep-2016,19592,19618,2743,799,16031,16849,2432226.7,13.98
Oct-2016,19041,19066,2618,784,15620,16423,2432323.12,13.73
Nov-2016,23058,23081,2454,756,19829,20604,2432462.25,10.63
Dec-2016,24265,24287,2346,753,21150,21919,2432462.25,9.66
Jan-2017,26363,26385,2450,763,23135,23913,2452103.68,9.29
Feb-2017,26542,26561,2620,756,23149,23922,2452196.73,9.86
Mar-2017,28526,28545,2621,763,25125,25905,2452374.57,9.18
Apr-2017,28641,28645,2630,764,25215,26011,2452467.44,9.18
May-2017,31126,31130,2637,764,27694,28489,2452546.55,8.47
Jun-2017,31305,31307,2602,770,27904,28703,2452546.55,8.31
Jul-2017,36036,36037,2629,778,32599,33407,2452647.84,7.3
Aug-2017,36143,36145,2680,774,32661,33463,2452749.5,7.41
Sep-2017,36535,36537,2710,772,33026,33825,2452843.86,7.42
Oct-2017,36703,36705,2640,766,33270,34063,2455062.26,7.19
Nov-2017,36723,36725,2702,753,33242,34021,2457636.28,7.36
Dec-2017,37020,37021,2673,749,33575,34347,2457808.24,7.22
Jan-2018,38210,38212,2808,769,34611,35402,2474557.64,7.35
Feb-2018,42524,42527,2805,746,38954,39719,2477167.33,6.6
Mar-2018,42611,42614,2825,749,39018,39786,2479385.73,6.63
Apr-2018,44030,44033,2783,742,40486,41247,2481475.53,6.32
May-2018,44139,44142,2733,694,40694,41406,2484293.84,6.19
Jun-2018,44259,44262,2641,2706,38898,41618,2486480.09,5.97
Jul-2018,44315,44318,2587,689,41026,41728,2488762.79,5.84
Aug-2018,44419,44422,2564,651,41193,41855,2491407.96,5.77
Sep-2018,44459,44463,2545,651,41253,41914,2514478.13,5.72
Oct-2018,44501,44505,2631,643,41217,41870,2516728.68,5.91
Nov-2018,44513,44516,2612,580,41310,41901,2520057.68,5.87
Dec-2018,42551,42555,2716,586,39242,39835,2523079.9,6.38
Jan-2019,42617,42621,2804,591,39216,39813,2523646.15,6.58
Feb-2019,44060,44064,2842,528,40686,41218,2527922.2,6.45
Mar-2019,44112,44117,2828,527,40754,41284,2530847.91,6.41
Apr-2019,44218,44223,2731,525,40959,41487,2533130.61,6.18
May-2019,44275,44279,2752,448,41071,41523,2534095.36,6.22
Jun-2019,44481,44485,2821,453,41204,41660,2536410.21,6.34
Jul-2019,45037,45041,3059,443,41533,41978,2539110.87,6.79
Aug-2019,45090,45093,3324,367,41398,41766,2541650.78,7.37
Sep-2019,45118,45123,3209,365,41545,41909,2543579.82,7.11
Oct-2019,45247,45251,3267,369,41611,41980,2545637.47,7.22
Nov-2019,45354,45359,3148,277,41930,42206,2549881.37,6.94
Dec-2019,45420,45424,3301,280,41840,42119,nan,7.27
Jan-2020,45457,45462,3424,279,41756,42033,2552340.9,7.53
Feb-2020,45510,45515,3588,192,41733,41922,2555298.77,7.88
Mar-2020,40108,40112,3518,193,36399,36590,2557324.27,8.77
Apr-2020,37037,37041,3705,192,33142,33332,2558803.2,10.0
May-2020,36004,36008,3805,107,32094,32199,2560764.39,10.57
Jun-2020,38176,38180,4076,298,33806,34100,2561697.32,10.68
Jul-2020,38258,38262,4505,304,33453,33753,2565684,11.77
Aug-2020,38310,38314,4520,215,33579,33790,2565684,11.8
Sep-2020,38425,38430,4361,214,33855,34064,2567934.56,11.35
Oct-2020,39220,39225,4328,214,34683,34892,2571471.15,11.03
Nov-2020,39222,39227,4082,110,35035,35140,2573239.44,10.41
Dec-2020,40063,40068,4390,279,35399,35673,2579380.23,10.96
Jan-2021,40101,40105,4284,279,35542,35817,2582981.11,10.68
Feb-2021,40201,40206,4140,161,35905,36061,2584585.67,10.3
Mar-2021,40337,40344,3934,158,36252,36403,2584585.67,9.75
Apr-2021,40343,40350,4128,160,36062,36215,2587798.99,10.23
May-2021,40468,40475,4409,33,36033,36059,2589953.09,10.89
Jun-2021,40584,40591,4111,201,36279,36473,2590853.69,10.13
Jul-2021,40609,40616,4268,201,36147,36341,2592453.57,10.51
Aug-2021,40672,40679,4239,2847,33593,36433,2595513.43,10.42
Sep-2021,40825,40832,4071,2817,33944,36754,2595513.43,9.97
Oct-2021,40849,40856,4217,2826,33813,36632,2598187.81,10.32
Nov-2021,40909,40916,4222,2659,34035,36687,2599827.5,10.32
Dec-2021,40935,40941,4228,2657,34056,36707,2601306.43,10.33
Jan-2022,40980,40987,4204,2642,34141,36776,2602174.5,10.26
Feb-2022,40994,41000,6907,2508,31585,34087,4018029.23,16.85
Mar-2022,37082,37088,7807,205,29076,29275,4019620.69,21.05
Apr-2022,37124,37129,7597,198,29334,29527,4022829.48,20.46
May-2022,35495,35500,7398,51,28051,28097,4023214.65,20.84
Jun-2022,33380,33385,7314,50,26021,26066,4025027.74,21.91
Jul-2022,33158,33163,7061,232,25870,26097,4026716.17,21.29
Aug-2022,33142,33147,6913,41,26193,26229,4028966.73,20.86
Sep-2022,33198,33203,6668,40,26495,26530,4029256.08,20.08
Oct-2022,33411,33416,6612,251,26553,26799,4033950.09,19.79
Nov-2022,33532,33537,7078,15,26444,26454,4036506.07,21.11
Dec-2022,34003,34008,7326,13,26669,26677,4039110.28,21.54
Jan-2023,34224,34228,7773,324,26131,26451,4040026.58,22.71
Feb-2023,34352,34356,7372,22,26962,26980,4040106.96,21.46
Mar-2023,34447,34449,7950,22,26477,26497,4044270.48,23.08
Apr-2023,34551,34553,8031,349,26173,26520,4044350.86,23.24
May-2023,34660,34662,7949,27,26686,26711,4046563.31,22.93
Jun-2023,34828,34830,7738,27,27065,27090,4046563.63,22.22
Jul-2023,34879,34880,7974,376,26530,26905,4046563.63,22.86
Aug-2023,34928,34930,7863,30,27037,27065,4048396.22,22.51
Sep-2023,34970,34972,7644,29,27299,27326,4050026.27,21.86
Oct-2023,35102,35104,8098,371,26635,27004,4055395.44,23.07
Nov-2023,35173,35175,8258,38,26879,26915,4057163.73,23.48
Dec-2023,35220,35221,8440,36,26745,26780,4060571.71,23.96
Jan-2024,35250,35251,8337,367,26547,26913,4060571.71,23.65
Feb-2024,35311,35313,8323,48,26942,26988,4063883.24,23.57
Mar-2024,40361,40363,9003,47,31313,31358,4065780.13,22.31
Apr-2024,41057,41059,9384,300,31375,31673,4067644.87,22.85
May-2024,46126,46127,9557,12,36558,36569,4069413.16,20.72
Jun-2024,46383.9,46386,9485,12,36889,36898.9,4069413.26,20.45
Jul-2024,46488.9,46491,9883,302,36306,36605.9,4073110.6,21.26
Aug-2024,46597,46599,10262,20,36317,36335,4075136.1,22.02
Sep-2024,46737,46739,10723,20,35996,36014,4077322.35,22.94
Oct-2024,46942,46944,11154,293,35497,35788,4079380,23.76
Nov-2024,46952,46954,10777,37,36140,36175,4079380,22.95
Dec-2024,47109,47111,10644,31,36436,36465,4079380,22.59
Jan-2025,47265,47268,11416,31,35821,35849,4095809.03,24.15
Feb-2025,47394,47396,11851,21,35524,35543,4113909.89,25.0
Mar-2025,47757,47760,12606,18,35136,35151,4124101.68,26.39
Apr-2025,48144,48147,13629,194,34324,34515,4127316.75,28.31
May-2025,48526,48529,13679,41,34809,34847,4129760.21,28.19
Jun-2025,48700,48703,13586,41,35076,35114,4132589.7,27.9
Jul-2025,49036,49038,13639,183,35216,35397,4134357.99,27.81
Aug-2025,49251,49253,14088,43,35122,35163,4134357.99,28.6
Sep-2025,49534,49536,15843,44,33649,33691,4141559.76,31.98
Oct-2025,50071,50074,16545,179,33350,33526,4142339.28,33.04
Nov-2025,50216,50218,17252,61,32905,32964,4153077.62,34.35
Dec-2025,51452,51452,18166,56,33232,33286,4159010.01,35.31
Jan-2026,52594,52596,20730,163,31703,31864,4161099.81,39.41
